,Ваповой внутренний продукт в рыночных ценах
,Валовая добавленная стоимость  в основных ценах 
Раздел A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство"
Раздел B,Добыча полезных ископаемых
Раздел C,Обрабатывающие производства
Раздел D,"Производство и распределение электроэнергии, газа и воды"
Раздел E,Строительство
Раздел F,"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования"
Раздел G,Гостиницы и рестораны
Раздел H,Транспорт и связь
Раздел I,Финансовая деятельность
Раздел J,"Операции с недвижимым имуществом, аренда и предоставление услуг"
Раздел K,Государственное управление и обеспечение военной безопасности;  социальное страхование
Раздел L,Образование
Раздел M,Здравоохранение и предоставление социальных услуг
Раздел O,Деятельность домашних хозяйств
,Налоги на продукты 
,Субсидии на продукты
,Чистые налоги на продукты 
