date,USTOTAL
2005-01-01,14062401.0
2005-04-01,14166189.0
2005-07-01,14261258.0
2005-10-01,14323118.0
2006-01-01,14518101.0
2006-04-01,14571376.0
2006-07-01,14582734.0
2006-10-01,14667343.0
2007-01-01,14676738.0
2007-04-01,14769006.0
2007-07-01,14852095.0
2007-10-01,14895630.0
2008-01-01,14800290.0
2008-04-01,14851523.0
2008-07-01,14763229.0
2008-10-01,14458163.0
2009-01-01,14279903.0
2009-04-01,14261865.0
2009-07-01,14313532.0
2009-10-01,14425158.0
2010-01-01,14457459.0
2010-04-01,14582873.0
2010-07-01,14690537.0
2010-10-01,14781793.0
2011-01-01,14710292.0
2011-04-01,14794233.0
2011-07-01,14834903.0
2011-10-01,14995289.0
2012-01-01,15080205.0
2012-04-01,15136688.0
2012-07-01,15143664.0
2012-10-01,15144569.0
2013-01-01,15240121.0
2013-04-01,15259278.0
2013-07-01,15377924.0
2013-10-01,15514814.0
2014-01-01,15462993.0
2014-04-01,15635883.0
2014-07-01,15848443.0
2014-10-01,15922558.0
2015-01-01,16047305.0
2015-04-01,16136428.0
2015-07-01,16191914.0
2015-10-01,16218296.0
2016-01-01,16255446.0
2016-04-01,16332470.0
2016-07-01,16440377.0
2016-10-01,16506954.0
2017-01-01,16543079.0
2017-04-01,16653363.0
2017-07-01,16789458.0
2017-10-01,16900097.0
2018-01-01,16977710.0
